,Day,Station,Code,Min Delay,Min Gap,Bound,Line,Vehicle,Month,DayOfMonth,Time
0,Sunday,MUSEUM,MUPAA,3,9,S,YU,5931,Jan,1,142
1,Sunday,KIPLING,MUIS,0,0,E,BD,5341,Jan,1,150
2,Sunday,WARDEN,SUO,0,0,W,BD,0,Jan,1,153
3,Sunday,VAUGHAN,TUNOA,6,12,S,YU,5451,Jan,1,482
4,Sunday,GREENWOOD,MUNOA,5,10,E,BD,0,Jan,1,491
5,Sunday,ROYAL YORK,EUSC,0,0,W,BD,5031,Jan,1,493
6,Sunday,KEELE,TUNOA,5,10,W,BD,0,Jan,1,495
7,Sunday,GREENWOOD,TUNOA,5,10,E,BD,0,Jan,1,496
8,Sunday,DONLANDS,TUNOA,4,8,W,BD,0,Jan,1,499
9,Sunday,GREENWOOD,TUNOA,5,10,E,BD,0,Jan,1,501
10,Sunday,EGLINTON,SUG,6,12,S,YU,5771,Jan,1,504
11,Sunday,GREENWOOD,TUNOA,4,8,E,BD,0,Jan,1,511
12,Sunday,EGLINTON,TUNOA,6,12,N,YU,6131,Jan,1,518
13,Sunday,SHEPPARD WEST,TUNOA,6,12,N,YU,5851,Jan,1,524
14,Sunday,EGLINTON,PUSRA,4,8,S,YU,5851,Jan,1,654
15,Sunday,DONLANDS,TUNIP,3,7,W,BD,5077,Jan,1,714
16,Sunday,DUNDAS WEST,MUPAA,0,0,E,BD,5068,Jan,1,810
17,Sunday,DAVISVILLE,SUDP,4,8,N,YU,5546,Jan,1,879
18,Sunday,ROYAL YORK,EUSC,0,0,E,BD,5031,Jan,1,921
19,Sunday,PIONEER VILLAGE,MUSAN,5,9,S,YU,5636,Jan,1,955
20,Sunday,SHEPPARD WEST,SUDP,6,10,S,YU,5451,Jan,1,973
21,Sunday,ROYAL YORK,EUSC,0,0,W,BD,5031,Jan,1,1027
22,Sunday,GREENWOOD,SUDP,9,13,W,BD,5371,Jan,1,1047
23,Sunday,ST. GEORGE,MUPAA,5,10,N,YU,5851,Jan,1,1139
24,Sunday,BATHURST,SUSP,5,9,W,BD,5371,Jan,1,1170
25,Sunday,BLOOR-YONGE,SUDP,3,8,E,BD,5056,Jan,1,1237
26,Sunday,KENNEDY,EUVA,6,12,W,BD,5141,Jan,1,1317
27,Sunday,UNION,SUDP,14,20,N,YU,6086,Jan,1,1339
28,Sunday,KIPLING,MUIR,6,12,E,BD,5135,Jan,1,1399
29,Sunday,LAWRENCE,TUOS,0,0,N,YU,5991,Jan,1,80
30,Sunday,FINCH,MUIRS,0,0,S,YU,0,Jan,1,114
31,Monday,VAUGHAN,SUDP,0,0,S,YU,5801,Jan,2,130
32,Monday,VAUGHAN,SUDP,0,0,S,YU,5976,Jan,2,145
33,Monday,MCCOWAN,ERPR,10,15,N,SRT,3003,Jan,2,1363
34,Monday,HIGHWAY 407,SUDP,12,18,N,YU,5526,Jan,2,150
35,Monday,ISLINGTON,MUPAA,3,7,W,BD,5031,Jan,2,566
36,Monday,WILSON,TUNIP,5,9,S,YU,5636,Jan,2,589
37,Monday,EGLINTON,SUDP,3,9,S,YU,5556,Jan,2,618
38,Monday,EGLINTON WEST,SUO,5,9,N,YU,5456,Jan,2,722
39,Monday,MUSEUM,SUDP,13,17,S,YU,5816,Jan,2,796
40,Monday,BLOOR-YONGE,MUIS,0,0,S,YU,0,Jan,2,820
41,Monday,KIPLING,MUTO,6,10,E,BD,5142,Jan,2,876
42,Monday,BLOOR-YONGE,MUPAA,3,7,S,YU,5556,Jan,2,943
43,Monday,WARDEN,PUSNT,5,9,E,BD,5135,Jan,2,991
44,Monday,FINCH,MUSAN,4,8,S,YU,5501,Jan,2,1038
45,Monday,CHRISTIE,MUIRS,6,11,E,BD,5135,Jan,2,1074
46,Monday,ROYAL YORK,EUSC,0,0,W,BD,5031,Jan,2,1082
47,Monday,DUNDAS,MUIRS,0,0,N,YU,0,Jan,2,1131
48,Monday,COLLEGE,MUPAA,3,9,N,YU,5516,Jan,2,1175
49,Monday,KENNEDY,TUMVS,5,10,E,BD,5341,Jan,2,1194
50,Monday,SPADINA,SUUT,6,11,E,BD,5323,Jan,2,1242
51,Monday,QUEEN,MUSAN,6,12,S,YU,5756,Jan,2,1261
52,Monday,SUMMERHILL,SUDP,4,10,N,YU,6136,Jan,2,1286
